Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity
2714	sbrtil	4	Basic	sbrt	xosil	Regular	C	I-Class	-il	To slip, to slide, to creep, to insinuate one's self.	Intransitive
2715	sdanal	20		sda	niharnal	Regular	C	Inchoative	-nal	To get, to take, to attain, to gain, to receive, to achieve, to acquire, to purchase, to obtain.	Intransitive
2716	sdant͡snel	2		sdant͡sn	kaɣel	Regular	C	E-Class	-el	To take charge.	Transitive
2717	sdkdanel	2		sdkdan	kaɣel	Regular	C	E-Class	-el	To blame, to disapprove, to reproach.	Transitive
2718	sdel	2		sd	kaɣel	Regular	C	E-Class	-el	To lie, to tell a lie, to tell a story, to tell an untruth, to fib.	Intransitive
2719	sdeɣd͡zel	2		sdeɣd͡z	kaɣel	Regular	C	E-Class	-el	To create, to invent, to find out.	Transitive
2720	sdeɣd͡zvil	4	Passive	sdeɣd͡z	zzvil	Regular	C	Passive	-vil	To be created.	Intransitive
2721	sdibel	2		sdib	kaɣel	Regular	C	E-Class	-el	To hasten, to hurry, to press, to force, to constrain, to oblige by force.	Transitive
2722	sdibvil	4	Passive	sdib	zzvil	Regular	C	Passive	-vil	To be pressed, to be in a hurry, to be obliged, to be forced, to to be constrained.	Intransitive
2723	sdgel	2		sdg	kaɣel	Regular	C	E-Class	-el	To pick, to clean, to sift, to purl; to adulate.	Transitive
2724	sdorakd͡zel	2		sdorakd͡z	kaɣel	Regular	C	E-Class	-el	To underline.	Transitive
2725	sdoraknahadel	2		sdoraknahad	kaɣel	Regular	C	E-Class	-el	To underestimate.	Transitive
2726	sdorakrel	2		sdorakr	kaɣel	Regular	C	E-Class	-el	To subscribe, to sign, to underwrite.	Transitive
2727	sdoratasel	2		sdoratas	kaɣel	Regular	C	E-Class	-el	To subordinate, to subdue, to submit.	Transitive
2728	sdornanal	20		sdorna	niharnal	Regular	C	Inchoative	-nal	To abate, to decline, to sink.	Intransitive
2729	sdorokel	2		sdorok	kaɣel	Regular	C	E-Class	-el	To specify, to attribute, to ascribe, to predicate.	Transitive
2730	sdvaranal	20		sdvara	niharnal	Regular	C	Inchoative	-nal	To become gross, bulky, to grow thick.	Intransitive
2731	sdvarat͡snel	10	Basic	sdvara	modet͡snel	Regular	C	Causative	-t͡snel	To thicken, to make bigger, to enlarge, to make greater.	Transitive
2732	sdukel	2		sduk	kaɣel	Regular	C	E-Class	-el	To certify, to verify, to assure, to control, to ascertain, to examine thoroughly.	Transitive
2733	sdverakrel	2		sdverakr	kaɣel	Regular	C	E-Class	-el	To sketch, to outline, to delineate, to trace, to make the first sketch.	Transitive
2734	sdverel	2		sdver	kaɣel	Regular	C	E-Class	-el	To shade.	Transitive
2735	sdrganal	20		sdrga	niharnal	Regular	C	Inchoative	-nal	To become a slave, to fall into slavery.	Intransitive
2736	sdrgat͡snel	10	Basic	sdrga	modet͡snel	Regular	C	Causative	-t͡snel	To enslave, to reduce to slavery.	Transitive
2737	srad͡zel	2		srad͡z	kaɣel	Regular	C	E-Class	-el	To put to the sword.	Transitive
2738	sradel	2		srad	kaɣel	Regular	C	E-Class	-el		Transitive
2739	srpakord͡zel	2		srpakord͡z	kaɣel	Regular	C	E-Class	-el	To consecrate, to devote, to sanctify, to dedicate, to sanction.	Transitive
2740	srpakrel	2		srpakr	kaɣel	Regular	C	E-Class	-el	To correct, to rectify, to repair.	Transitive
2741	srpanal	20		srpa	niharnal	Regular	C	Inchoative	-nal	To devote oneself, to become consecrated.	Intransitive
2742	srpat͡snel	10	Basic	srpa	modet͡snel	Regular	C	Causative	-t͡snel	To canonize, to sanctify.	Transitive
2743	srpel	2		srp	kaɣel	Regular	C	E-Class	-el	To clean, to cleanse, to make clean, to purify, to scour, to wipe, to absterge.	Transitive
2744	srtoɣet͡snel	10	Basic	srtoɣe	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
2745	srtoɣil	4	Basic	srtoɣ	xosil	Regular	C	I-Class	-il	To be angry, to get into a passion.	Intransitive
2746	srel	2		sr	kaɣel	Regular	C	E-Class	-el	To whet, to sharpen, to make sharp, to excite, to set an edge on.	Transitive
2747	srsgel	2		srsg	kaɣel	Regular	C	E-Class	-el	To sprinkle, to asperse, to besprinkle.	Transitive
2748	srspal	6		srsp	gartal	Regular	C	A-Class	-al		Intransitive
2749	srdabntel	2		srdabnt	kaɣel	Regular	C	E-Class	-el	To encourage, to stimulate.	Transitive
2750	sprel	2		spr	kaɣel	Regular	C	E-Class	-el	To spill, to diffuse, to scatter, to distribute, to strew, to spread, to disseminate, to disperse.	Transitive
2751	skant͡ʃanal	20		skant͡ʃa	niharnal	Regular	C	Inchoative	-nal	To admire, to be astonished, to wonder, to be surprised.	Intransitive
2752	skant͡ʃat͡snel	10	Basic	skant͡ʃa	modet͡snel	Regular	C	Causative	-t͡snel	To amaze, to enrapture, to ravish, to astonish, to surprise, to astound.	Transitive
2753	skoɣel	2		skoɣ	kaɣel	Regular	C	E-Class	-el	To cover with a veil, to veil, to cover.	Transitive
2754	skoɣvil	4	Passive	skoɣ	zzvil	Regular	C	Passive	-vil		Intransitive
2755	skoɣel	2		skoɣ	kaɣel	Regular	C	E-Class	-el	To veil, to muffle up, to cover with a veil.	Transitive
2756	skoɣvil	4	Passive	skoɣ	zzvil	Regular	C	Passive	-vil		Intransitive
2757	sosapel	2		sosap	kaɣel	Regular	C	E-Class	-el		Intransitive
2758	vakel	2		vak	kaɣel	Regular	C	E-Class	-el	To run, to precipitate, to rush forward.	Intransitive
2759	vazel	2		vaz	kaɣel	Regular	C	E-Class	-el	To run, to hasten, to dash, to rush, to spring, to take one's flight, to leap, to bound.	Intransitive
2760	vazvzel	2		vazvz	kaɣel	Regular	C	E-Class	-el	To run here and there, to hop, to skip.	Intransitive
2761	vazvrdel	2		vazvrd	kaɣel	Regular	C	E-Class	-el	To run here and there, to hop, to skip.	Intransitive
2762	vatel	2		vat	kaɣel	Regular	C	E-Class	-el	To pour, to discharge, to empty.	Transitive
2763	vaxd͡ʒanil	4	Basic	vaxd͡ʒan	xosil	Regular	C	I-Class	-il	To die, to expire, to decease, to pass away.	Intransitive
2764	vaxnal	20		vax	niharnal	Regular	C	Inchoative	-nal	To fear, to be afraid, to be intimidated, to apprehend, to stand in awe.	Intransitive
2765	vaxt͡snel	10	Basic	vax	modet͡snel	Regular	C	Causative	-t͡snel	To frighten, to terrify, to intimidate.	Transitive
2766	vad͡ʒarel	2		vad͡ʒar	kaɣel	Regular	C	E-Class	-el	To sell, to debit, to sell off.	Transitive
2767	vad͡ʒarvil	4	Passive	vad͡ʒar	zzvil	Regular	C	Passive	-vil	To be sold.	Intransitive
2768	vajel	2		vaj	kaɣel	Regular	C	E-Class	-el	To deplore, to bewail, to mourn.	Intransitive
2769	vajelel	2		vajel	kaɣel	Regular	C	E-Class	-el	To enjoy, to possess, to to be in possession of.	Intransitive
2770	vajlel	2		vajl	kaɣel	Regular	C	E-Class	-el	To suite, to become.	Intransitive
2771	vajrenanal	20		vajrena	niharnal	Regular	C	Inchoative	-nal	To become savage, wild, to grow inhuman, brutal, ferocious, cruel.	Intransitive
2772	vajrenat͡snel	10	Basic	vajrena	modet͡snel	Regular	C	Causative	-t͡snel	To render savage, wild, to brutalize, to enrage.	Transitive
2773	vantagel	2		vantag	kaɣel	Regular	C	E-Class	-el	To grate, to rail in, to trellis, to lattice, to bar.	Transitive
2774	vantel	2		vant	kaɣel	Regular	C	E-Class	-el	To undo, to rout, to defeat, to upset, to waste, to discompose; to destroy.	Transitive
2775	vanel	2		van	kaɣel	Regular	C	E-Class	-el	To push, to give a push, to expel, to drive out, to chase, to pursue, to repel.	Transitive
2776	varel	2		var	kaɣel	Regular	C	E-Class	-el	To light up, to kindle, to set on fire, to enliven, to fire, to inflame, to provoke.	Transitive
2777	varil	4	Basic	var	xosil	Regular	C	I-Class	-il	To kindle, to be lighted, to catch fire, to take fire, to brighten up, to be inflamed.	Intransitive
2778	vasdagil	4	Basic	vasdag	xosil	Regular	C	I-Class	-il	To gain, to make to earn, to win, to get, to gain over, to deserve well, to be worthy of.	Intransitive
2779	vasdgil	4	Basic	vasdg	xosil	Regular	C	I-Class	-il		Both
2780	vadapanel	2		vadapan	kaɣel	Regular	C	E-Class	-el		Both
2781	vadanal	20		vada	niharnal	Regular	C	Inchoative	-nal	To become loose, slothful, faint-hearted.	Intransitive
2782	vadtaranal	20		vadtara	niharnal	Regular	C	Inchoative	-nal	To degenerate, to grow worse, to deteriorate, to get worse.	Intransitive
2783	vadtarat͡snel	10	Basic	vadtara	modet͡snel	Regular	C	Causative	-t͡snel	To disennoble, to render degenerate, to debase, to make worse.	Transitive
2784	vadnel	2		vadn	kaɣel	Regular	C	E-Class	-el	To spend, to disburse, to dissipate, to waste, to lavish, to squander, to consume.	Transitive
2785	varakurel	2		varakur	kaɣel	Regular	C	E-Class	-el	To veil, to cover, to cloak, to blind.	Transitive
2786	varagel	2		varag	kaɣel	Regular	C	E-Class	-el	To affect, to infect, to taint, to contaminate; to impede, to entangle.	Transitive
2787	varagvil	4	Passive	varag	zzvil	Regular	C	Passive	-vil	To be infected with, to spread.	Intransitive
2788	varanil	4	Basic	varan	xosil	Regular	C	I-Class	-il	To balance, to hesitate, to waver, to be beset, to be irresolute, to haggle, to be at a stand.	Intransitive
2789	varadel	2		varad	kaɣel	Regular	C	E-Class	-el	To disperse, to scatter, to rout, to dispel, to spread, to broadcast.	Transitive
2790	vararil	4	Basic	varar	xosil	Regular	C	I-Class	-il		Intransitive
2791	varkel	2		vark	kaɣel	Regular	C	E-Class	-el	To trot, to run about, to toddle.	Intransitive
2792	vartabedel	2		vartabed	kaɣel	Regular	C	E-Class	-el	To teach, to indoctrinate, to dogmatize, to instruct in.	Transitive
2793	varel	2		var	kaɣel	Regular	C	E-Class	-el	To labour, to till, to lead, to drive, to conduct, to direct, to guide, to convey.	Transitive
2794	varʒet͡snel	10	Basic	varʒe	modet͡snel	Regular	C	Causative	-t͡snel	To exercise, to train up, to instruct, to educate, to teach, to accustom, to habituate, to inure.	Transitive
2795	varʒvil	4	Passive	varʒ	zzvil	Regular	C	Passive	-vil	To accustom, to inure one's self, to exercise, to be accustomed.	Intransitive
2796	vargapegel	2		vargapeg	kaɣel	Regular	C	E-Class	-el	To discredit, to bring into discredit.	Transitive
2797	vargakrel	2		vargakr	kaɣel	Regular	C	E-Class	-el		Transitive
2798	vart͡sadrel	2		vart͡sadr	kaɣel	Regular	C	E-Class	-el	To reward, to requite, to recompense, to give wages or salary to.	Transitive
2799	vart͡sel	2		vart͡s	kaɣel	Regular	C	E-Class	-el	To let, to rent, to hire, to let out, to lease, to hold a wager, to keep in pay.	Transitive
2800	varvil	4	Passive	var	zzvil	Regular	C	Passive	-vil	To conduct, to behave one's self, to deal with, to lead, to guide one's self, to treat.	Intransitive
2801	varsel	2		vars	kaɣel	Regular	C	E-Class	-el	To drive in, to thrust in, to fasten in.	Transitive
2802	vawerat͡snel	10	Basic	vawera	modet͡snel	Regular	C	Causative	-t͡snel	To ratify, to authenticate, to certify the authenticity.	Transitive
2803	veheril	4	Basic	veher	xosil	Regular	C	I-Class	-il	To be afraid, to take fright, to lose courage.	Intransitive
2804	veraperil	4	Basic	veraper	xosil	Regular	C	I-Class	-il	To refer, to belong, to appertain, to concern, to regard, to have a reference to.	Intransitive
2805	veraknahadel	2		veraknahad	kaɣel	Regular	C	E-Class	-el	To reestimate, to overprize.	Transitive
2806	verakrel	2		verakr	kaɣel	Regular	C	E-Class	-el	To refer to, to attribute, to ascribe, to impute, to superscribe, to address.	Transitive
2807	veratarnal	40		veratarn	tarnal	Suppletive	C		-al	To return, to go back.	Intransitive
2808	veratart͡snel	10	Orthographic variant with affricate	veratar	tart͡snel	Regular	C	Causative	-t͡snel	To cause to return, to transport, to return.	Transitive
2809	verazinel	2		verazin	kaɣel	Regular	C	E-Class	-el	To rearm, to reequip, to fit out again.	Transitive
2810	verazinvil	4	Passive	verazin	zzvil	Regular	C	Passive	-vil		Intransitive
2811	veraxmpel	2		veraxmp	kaɣel	Regular	C	E-Class	-el	To rally.	Transitive
2812	verad͡zel	2		verad͡z	kaɣel	Regular	C	E-Class	-el	To reduce, to bring down, to convert, to transform, to elevate, to bear on high.	Transitive
2813	verad͡znil	56		verad͡zn	nsdil	Irregular	C		-il	To be regenerated, to be born again.	Intransitive
2814	veragazmel	2		veragazm	kaɣel	Regular	C	E-Class	-el	To reorganize.	Transitive
2815	veraganknel	2		veragankn	kaɣel	Regular	C	E-Class	-el	To raise again, to lift up again, to restore, to revive, to reestablish, to set up again.	Transitive
2816	veraganknil	4	Basic	veragankn	xosil	Regular	C	I-Class	-il	To recover, to rise again, to rise up, to be revived, to take refreshment.	Intransitive
2817	veragarut͡sel	2		veragarut͡s	kaɣel	Regular	C	E-Class	-el		Transitive
2818	veragentananal	20		veragentana	niharnal	Regular	C	Inchoative	-nal	To restore to life, to revive.	Intransitive
2819	veragentanat͡snel	10	Basic	veragentana	modet͡snel	Regular	C	Causative	-t͡snel	To reanimate, to enliven.	Transitive
2820	veragerdel	2		veragerd	kaɣel	Regular	C	E-Class	-el		Transitive
2821	veragot͡ʃel	2		veragot͡ʃ	kaɣel	Regular	C	E-Class	-el	To call again, to recall, to invoke, to invocate, to request, to demand.	Transitive
2822	verahasdadel	2		verahasdad	kaɣel	Regular	C	E-Class	-el	To restore, to refund; to re-establish, to reaffirm, to reassert, to set again.	Transitive
2823	verahasdadvil	4	Passive	verahasdad	zzvil	Regular	C	Passive	-vil	To be re-established, to be restored.	Intransitive
2824	verahsgel	2		verahsg	kaɣel	Regular	C	E-Class	-el	To superintend, to inspect, to watch, to look after.	Transitive
2825	veramgrdel	2		veramgrd	kaɣel	Regular	C	E-Class	-el	To rebaptize.	Transitive
2826	veramʃagel	2		veramʃag	kaɣel	Regular	C	E-Class	-el		Transitive
2827	veramusnanal	20		veramusna	niharnal	Regular	C	Inchoative	-nal	To marry again.	Intransitive
2828	veranal	20		vera	niharnal	Regular	C	Inchoative	-nal	To mount, to arise, to ascend, to get up, to go up, to soar.	Intransitive
2829	veranajil	4	Basic	veranaj	xosil	Regular	C	I-Class	-il		vt
2830	veranorokel	2		veranorok	kaɣel	Regular	C	E-Class	-el	To renew, to renovate, to revive, to refresh, to restore, to regenerate.	Transitive
2831	veraʃinel	2		veraʃin	kaɣel	Regular	C	E-Class	-el	To rebuild, to build again.	Transitive
2832	verabril	4	Basic	verabr	xosil	Regular	C	I-Class	-il		Intransitive
2833	verard͡zard͡zel	2		verard͡zard͡z	kaɣel	Regular	C	E-Class	-el	To stir up, to poke, to relight, to light again, to revive, to rekindle.	Transitive
2834	verardatrel	2		verardatr	kaɣel	Regular	C	E-Class	-el	To reproduce.	Transitive
2835	verat͡snel	10	Basic	vera	modet͡snel	Regular	C	Causative	-t͡snel	To raise up, to exalt, lift up, to separate, to abstract.	Transitive
2836	verapoxel	2		verapox	kaɣel	Regular	C	E-Class	-el	To transport on high, to transform.	Transitive
2837	veraknnel	2		veraknn	kaɣel	Regular	C	E-Class	-el	To revise, to review, to examine.	Transitive
2838	vererewil	4	Basic	vererew	zzvil	Regular	C	Basic	-il	To reappear, to shoot forth, to be born.	Intransitive
2839	verəntunil	4	Basic	verəntun	xosil	Regular	C	I-Class	-il	To receive, to accept.	Intransitive
2840	verənt͡siwɣel	2		verənt͡siwɣ	kaɣel	Regular	C	E-Class	-el	To bud again, to shoot again.	Intransitive
2841	verəndrel	2		verəndr	kaɣel	Regular	C	E-Class	-el	To reelect.	Transitive
2842	verəndrvil	4	Passive	verəndr	zzvil	Regular	C	Passive	-vil	To be reelected.	Intransitive
2843	verlud͡zel	2		verlud͡z	kaɣel	Regular	C	E-Class	-el	To analyze.	Transitive
2844	verd͡zanel	2		verd͡zan	kaɣel	Regular	C	E-Class	-el	To read, to recite, to decipher.	Transitive
2845	verjiʃel	2		verjiʃ	kaɣel	Regular	C	E-Class	-el	To call up. to bring to remembrance, to revive the memory of.	Intransitive
2846	vernakrel	2		vernakr	kaɣel	Regular	C	E-Class	-el	To entitle, to call, to ascribe.	Transitive
2847	vernal	20		ver	niharnal	Regular	C	Inchoative	-nal	To rise, to get up, to stand up.	Intransitive
2848	vert͡ʃanal	20		vert͡ʃa	niharnal	Regular	C	Inchoative	-nal	To finish, to terminate, to conclude, to be over, to be at an end.	Intransitive
2849	vert͡ʃat͡snel	10	Basic	vert͡ʃa	modet͡snel	Regular	C	Causative	-t͡snel	To finish, to close, to end, to conclude, to terminate.	Transitive
2850	versgsil	56		versgs	nsdil	Irregular	C		-il	To begin again, to recommence.	Intransitive
2851	versdukel	2		versduk	kaɣel	Regular	C	E-Class	-el		Transitive
2852	vert͡snel	10	Basic	ver	modet͡snel	Regular	C	Causative	-t͡snel	To raise up, to raise, to exalt, to lift up, to take up, to carry, to take away, to hear, to support.	Transitive
2853	vzzal	6		vzz	gartal	Regular	C	A-Class	-al		Intransitive
2854	vtarel	2		vtar	kaɣel	Regular	C	E-Class	-el	To injure, to damage, to cause to deteriorate.	Transitive
2855	viʒet͡snel	10	Basic	viʒe	modet͡snel	Regular	C	Causative	-t͡snel	To cause or procure abortion.	Transitive
2856	viʒil	4	Basic	viʒ	xosil	Regular	C	I-Class	-il	To abort, to miscarry, to flow away, to flow, to prove abortive.	Intransitive
2857	vid͡ʒapanil	4	Basic	vid͡ʒapan	xosil	Regular	C	I-Class	-il	To discuss, to debate, to dispute, to wrangle.	Transitive
2858	vid͡ʒagel	2		vid͡ʒag	kaɣel	Regular	C	E-Class	-el	To choose, to name, to make to inherit, to settle, to institute, to appoint, to establish.	Transitive
2859	vid͡ʒagvil	4	Passive	vid͡ʒag	zzvil	Regular	C	Passive	-vil		Intransitive
2860	vid͡ʒargel	2		vid͡ʒarg	kaɣel	Regular	C	E-Class	-el		Transitive
2861	vid͡ʒil	4	Basic	vid͡ʒ	xosil	Regular	C	I-Class	-il	To dispute, to contest, to debate, to controvert, to contend, to discuss, to wrangle, to argue.	Intransitive
2862	vimakrel	2		vimakr	kaɣel	Regular	C	E-Class	-el	To lithograph.	Transitive
2863	vibel	2		vib	kaɣel	Regular	C	E-Class	-el	To relate, to tell, to recount, to narrate, to recite.	Transitive
2864	viral	6		vir	gartal	Regular	C	A-Class	-al	To raze, to shave, to pull down.	Transitive
2865	viraworel	2		virawor	kaɣel	Regular	C	E-Class	-el	To wound, to hurt, to distress, to ulcerate, to rend the heart.	Transitive
2866	viraworvil	4	Passive	virawor	zzvil	Regular	C	Passive	-vil	To be wounded, to hurt one's self, to cut oneself, to take offence.	Intransitive
2867	vxdal	6		vxd	gartal	Regular	C	A-Class	-al	To stir, to move, to swarm, to abound with, to be full of, to crawl with.	Intransitive
2868	vgajel	2		vgaj	kaɣel	Regular	C	E-Class	-el	To testify, to witness, to attest, to give evidence, to certify, to avow, to avouch, to confess.	Both
2869	vgantel	2		vgant	kaɣel	Regular	C	E-Class	-el	To repel, to drive back, to push back, to throw back, to defeat.	Transitive
2870	vhadet͡snel	10	Basic	vhade	modet͡snel	Regular	C	Causative	-t͡snel	To dishearten, to discourage, to deject, to despond, to cast down, to unnerve, to dispirit, to break the heart of.	Transitive
2871	vhadil	4	Basic	vhad	xosil	Regular	C	I-Class	-il	To lose heart, to be discouraged, to be dejected, to lose courage.	Intransitive
2872	vd͡ʒarel	2		vd͡ʒar	kaɣel	Regular	C	E-Class	-el	To pay, to pay off, to settle accounts, to acquit, to refund.	Transitive
2873	vd͡ʒrel	2		vd͡ʒr	kaɣel	Regular	C	E-Class	-el	To decide, to resolve, to decree, to pronounce, to convict.	Transitive
2874	vnasel	2		vnas	kaɣel	Regular	C	E-Class	-el	To hurt, to prejudice, to harm, to annoy, to wrong, to injure, to offend, to damage, to give offence, to spoil, to mar.	Both
2875	vnasvil	4	Passive	vnas	zzvil	Regular	C	Passive	-vil	To hurt, to be injured, to suffer.	Intransitive
2876	vʃdagt͡sil	4	Basic	vʃdagt͡s	xosil	Regular	C	I-Class	-il	To sympathize with, to compassionate, to have compassion for any one, to participate in any one's grief.	Intransitive
2877	vʃdanal	20		vʃda	niharnal	Regular	C	Inchoative	-nal	To be pained, to be afflicted, to be offended, to take offence at.	Transitive
2878	vʃdat͡snel	10	Basic	vʃda	modet͡snel	Regular	C	Causative	-t͡snel	To offend, to afflict, to grieve, to torment, to vex, to pain, to make sad.	Transitive
2879	vrndel	2		vrnd	kaɣel	Regular	C	E-Class	-el	To expel, to turn out, to send away, to discharge, to drive away, to dismiss.	Transitive
2880	vrndvil	4	Passive	vrnd	zzvil	Regular	C	Passive	-vil	To be expelled, to be discharged, to be turned out of doors.	Intransitive
2881	vsemat͡snel	10	Basic	vsema	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
2882	vsdahet͡snel	10	Basic	vsdahe	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
2883	vsdahil	4	Basic	vsdah	xosil	Regular	C	I-Class	-il	To be assured, to trust in, to rely on, to confide in, to depend upon, to trust to, to intrust, to accredit.	Intransitive
2884	vdankel	2		vdank	kaɣel	Regular	C	E-Class	-el	To put in danger, to endanger, to venture, to risk, to compromise.	Transitive
2885	vdankvil	4	Passive	vdank	zzvil	Regular	C	Passive	-vil	To venture, to risk, to endanger one's self, to put one's self in danger, to run danger, to be in peril.	Intransitive
2886	vdarel	2		vdar	kaɣel	Regular	C	E-Class	-el	To dislodge, to remove, to exile, to expel, to send off, to drive away.	Transitive
2887	vdarvil	4	Passive	vdar	zzvil	Regular	C	Passive	-vil	To be expelled, to be driven away.	Intransitive
2888	vrtovel	2		vrtov	kaɣel	Regular	C	E-Class	-el	To make uneasy, to disquiet, to render unquiet, to disturb, to trouble, to vex, to fret.	Transitive
2889	vrtovil	4	Basic	vrtov	xosil	Regular	C	I-Class	-il	To be disturbed, to be uneasy, to be troubled, to be anxious, to be vexed.	Intransitive
2890	vrtovvil	4	Passive	vrtov	zzvil	Regular	C	Passive	-vil	To be disturbed, to be uneasy, to be troubled, to be anxious, to be vexed.	Intransitive
2891	vribet͡snel	10	Basic	vribe	modet͡snel	Regular	C	Causative	-t͡snel	To mislead, to misguide, to lead into error, to mislay, to turn away, to avert.	Transitive
2892	vribil	4	Basic	vrib	xosil	Regular	C	I-Class	-il	To miss, to fail, to err, to mistake, to be mistaken.	Intransitive
2893	vrnt͡ʃel	2		vrnt͡ʃ	kaɣel	Regular	C	E-Class	-el	To neigh.	Intransitive
2894	daknabet͡snel	10	Basic	daknabe	modet͡snel	Regular	C	Causative	-t͡snel	To perplex, to make uneasy, to put to trouble, to embarrass, to disquiet, to disturb.	Transitive
2895	daknabil	4	Basic	daknab	xosil	Regular	C	I-Class	-il	To press, to take alarm, to be alarmed, to be uneasy, to torment oneself, to strain, to be embarrassed, to be in despair, to be solicitous about.	Intransitive
2896	dal	36		d	dal	Suppletive	C		-al	To give, to bestow, to make a present of, to give away, to deliver, to give up, to remit, to transmit, to render, to deliver over.	Transitive
2897	daxdabarel	2		daxdabar	kaɣel	Regular	C	E-Class	-el	To cast down, to overthrow, to spread.	Transitive
2898	dad͡zel	2		dad͡z	kaɣel	Regular	C	E-Class	-el	To nourish, to feed, to keep, to entertain, to foment.	Transitive
2899	daɣat͡ʃapel	2		daɣat͡ʃap	kaɣel	Regular	C	E-Class	-el	To versify, to make verses.	Transitive
2900	daɣel	2		daɣ	kaɣel	Regular	C	E-Class	-el	To cauterize, to burn.	Transitive
2901	damganal	20		damga	niharnal	Regular	C	Inchoative	-nal	To grow moist, to be moistened.	Intransitive
2902	damgat͡snel	10	Basic	damga	modet͡snel	Regular	C	Causative	-t͡snel	To moisten, to make damp.	Transitive
2903	danil	58		dan	danil	Suppletive	C		-il	To carry, to bear, to take away, to carry off, to conduct, to lead, to guide, to take along with, to suffer, to support, to sustain, to tolerate.	Transitive
2904	dant͡ʃel	2		dant͡ʃ	kaɣel	Regular	C	E-Class	-el	To torment, to torture, to rack.	Transitive
2905	dant͡ʃvil	4	Passive	dant͡ʃ	zzvil	Regular	C	Passive	-vil	To be tortured, to suffer, to be in pain, to torment one's self.	Intransitive
2906	daʃel	2		daʃ	kaɣel	Regular	C	E-Class	-el	To chip, to hew down, to plane, to rough-hew, to smooth with a plane, to clear up, to unravel.	Transitive
2907	dabalel	2		dabal	kaɣel	Regular	C	E-Class	-el	To throw down, to hurl down, to knock down, to demolish, to subvert, to overthrow.	Transitive
2908	dabalil	4	Basic	dabal	xosil	Regular	C	I-Class	-il	To be overthrown, to be subverted, to fall down, to be upset.	Intransitive
2909	dabagel	2		dabag	kaɣel	Regular	C	E-Class	-el	To fry, to roast, to fricasse.	Transitive
2910	dabil	4	Basic	dab	xosil	Regular	C	I-Class	-il	To grow warm, to overheat oneself.	Intransitive
2911	dabldgil	4	Basic	dabldg	xosil	Regular	C	I-Class	-il	To tumble, to wallow, to roll one's self.	Intransitive
2912	dabgel	2		dabg	kaɣel	Regular	C	E-Class	-el	To fry, to roast.	Transitive
2913	darabet͡snel	10	Basic	darabe	modet͡snel	Regular	C	Causative	-t͡snel	To make to suffer, to grieve, to afflict.	Transitive
2914	darabil	4	Basic	darab	xosil	Regular	C	I-Class	-il	To suffer, to grieve at, to be pained, to be afflicted, to be tormented, to be vexed.	Intransitive
2915	dasnabadgel	2		dasnabadg	kaɣel	Regular	C	E-Class	-el	To increase ten times as much.	Transitive
2916	dadamsil	4	Basic	dadams	xosil	Regular	C	I-Class	-il	To hesitate, to balance, to falter, to fluctuate, to be in suspense.	Intransitive
2917	dadanil	4	Basic	dadan	xosil	Regular	C	I-Class	-il	To shake, to swing, to waver, to waddle, to balance, to fluctuate.	Intransitive
2918	darakrel	2		darakr	kaɣel	Regular	C	E-Class	-el	To exile, to banish, to eliminate, to deport, to drive away.	Transitive
2919	darakrvil	4	Passive	darakr	zzvil	Regular	C	Passive	-vil	To be deported, exiled, banished.	Intransitive
2920	darad͡zel	2		darad͡z	kaɣel	Regular	C	E-Class	-el	To spread, to stretch, to expand, to swell, to distend, to extend, to dilate, to open, to enlarge, to set out, to widen.	Transitive
2921	darad͡zvil	4	Passive	darad͡z	zzvil	Regular	C	Passive	-vil	To extend, to sprawl, to stretch, to stretch one's self out, to be spread, to be scattered, to be distributed, to be propagated.	Intransitive
2922	daragusil	4	Basic	daragus	xosil	Regular	C	I-Class	-il	To doubt, to hesitate, to be doubtful, to question, to scruple.	Intransitive
2923	darat͡sajnel	2		darat͡sajn	kaɣel	Regular	C	E-Class	-el	To report, to rumour.	Intransitive
2924	darat͡sajnvil	4	Passive	darat͡sajn	zzvil	Regular	C	Passive	-vil	To divulgate, to be spread, to be diffused, to be poured out.	Intransitive
2925	darant͡ʃadel	2		darant͡ʃad	kaɣel	Regular	C	E-Class	-el	To detach, to untie, to separate.	Transitive
2926	darpaɣatrel	2		darpaɣatr	kaɣel	Regular	C	E-Class	-el	To decompose, to decompound.	Transitive
2927	darpaɣatrvil	4	Passive	darpaɣatr	zzvil	Regular	C	Passive	-vil	To decompose, to become decomposed.	Intransitive
2928	darperel	2		darper	kaɣel	Regular	C	E-Class	-el	To difference, to diversify, to vary.	Transitive
2929	darperil	4	Basic	darper	xosil	Regular	C	I-Class	-il	To differ, to be different, to be unlike, to disagree.	Intransitive
2930	darhamozel	2		darhamoz	kaɣel	Regular	C	E-Class	-el	To dissuade, to advise to the contrary.	Transitive
2931	daroroʃel	2		daroroʃ	kaɣel	Regular	C	E-Class	-el	To distinguish, to discern.	Transitive
2932	daruperel	38		daruper	perel	Irregular	C		-el	To float, to agitate, to toss about, to ballot, to toss.	Transitive
2933	daruperil	4	Basic	daruper	xosil	Regular	C	I-Class	-il	To shake, to be floated, to be agitated, to be tossed.	Intransitive
